FieldPeriodID	UniqueBirdsObserved	TotalRinged	IndependentBirds	PEnd	Pcolor
22	380	375	325	28/08/1997	Past seasons
23	372	363	336	28/03/1998	Past seasons
25	322	321	270	27/09/1998	Past seasons
26	254	251	251	29/01/1999	Past seasons
27	274	266	244	04/05/1999	Past seasons
28	372	369	295	26/09/1999	Past seasons
30	376	371	325	02/09/2003	Past seasons
31	337	336	335	14/01/2004	Past seasons
32	366	358	357	29/05/2004	Past seasons
34	356	351	341	02/09/2004	Past seasons
35	303	295	284	12/01/2005	Past seasons
37	394	371	334	11/09/2005	Past seasons
39	339	335	303	13/08/2000	Past seasons
40	291	287	277	26/07/2001	Past seasons
41	372	366	315	02/10/2002	Past seasons
54	398	388	357	11/12/2005	Past seasons
75	425	389	355	02/09/2006	Past seasons
77	377	364	366	29/01/2007	Past seasons
82	423	392	370	16/09/2007	Past seasons
85	374	352	370	21/02/2008	Past seasons
87	379	360	349	07/09/2008	Past seasons
90	352	329	325	03/03/2009	Past seasons
92	402	346	323	18/09/2009	Past seasons
103	321	274	300	19/03/2010	Past seasons
104	398	335	310	10/09/2010	Past seasons
105	381	330	319	02/10/2011	Past seasons
112	307	278	278	28/02/2012	Past seasons
116	355	317	327	30/09/2012	Past seasons
118	283	267	278	27/02/2013	Past seasons
122	336	303	303	30/09/2013	Past seasons
124	282	246	252	04/03/2014	Past seasons
125	392	391	337	04/10/2014	Past seasons
139	364	364	348	05/03/2015	Past seasons
142	344	331	281	29/09/2015	Past seasons
144	290	268	284	09/03/2016	Past seasons
159	318	269	267	19/09/2016	Past seasons
161	282	262	278	03/03/2017	Past seasons
164	364	310	288	20/09/2017	Past seasons
166	336	297	310	14/03/2018	Past seasons
167	399	352	336	22/09/2018	Past seasons
171	374	342	353	09/03/2019	Past seasons
173	335	292	302	23/09/2019	Past seasons
174	294	287	276	16/03/2020	Past seasons
175	226	222	226	15/06/2021	Past seasons
176	348	296	289	30/09/2021	Past seasons
177	298	256	286	18/03/2022	Past seasons
178	265	246	250	14/09/2022	Past seasons
184	236	214	227	27/03/2023	Past seasons
186	251	251	222	09/10/2023	Past seasons
188	232	206	211	22/03/2024	Past seasons
189	204	200	184	16/10/2024	Past seasons
190	139	124	133	14/03/2025	Past seasons
192	167	167	165	16/10/2025	This season
