"ModelNo","Family","Formula","ziFormula","zi","zip","di","dip","uni","unip","AIC","Converge?-1","Converge?-2","df"
"1","Gamma","prate","0",NA,1,1.38769743436519,0.304,0.252,0.00162979535686444,222.577300723912,"0","0.600943966127041","3"
"2","Gamma","prate","0",NA,1,1.79474292830054,0,0.1815,6.41624938167784e-06,826.784295479282,"0","0.278399191154973","3"
"3","Gamma","prate","0",NA,1,0.707241852786982,0.176,0.166588235294118,0.0178699927362329,562.793398529703,"0","0.105447230201327","3"
"4","Gamma","prate","0",NA,1,1.01480790554211,0.84,0.129297297297297,0.566280394222344,236.444798918119,"0","0.0594865738364479","3"
"5","Gamma","prate","0",NA,1,1.16671066377262,0.28,0.0713170731707317,0.163690866244853,1234.06664490279,"0","0.10085134005895","3"
"6","Gamma","prate","0",NA,1,0.998809231409291,0.96,0.063479674796748,0.274737359763785,1332.1434693851,"0","0.11687625120813","3"
"7","Gamma","prate","0",NA,1,0.934215847987913,0.728,0.052591439688716,0.475854048926525,1410.00282659063,"0","0.115858750584645","3"
"8","Gamma","prate","0",NA,1,0.991254523926655,0.896,0.0371063829787234,0.958051937773981,1031.87413551045,"0","0.0945622397264974","3"
"9","Gamma","prate","0",NA,1,1.17456990804722,0.368,0.0501917808219177,0.855602004159349,865.042139618977,"0","0.0923217504259559","3"
"10","Gamma","prate","0",NA,1,0.990323189695023,0.984,0.106566037735849,0.17994160562574,606.406060225856,"0","0.0824774275114811","3"
"11","Gamma","prate","0",NA,1,0.884309963560188,0.576,0.0572307692307693,0.885173521488257,635.918939624711,"0","0.0832753893800737","3"
"12","Gamma","prate","0",NA,1,0.835228676526772,0.384,0.0603478260869565,0.796400031229501,739.353271929162,"0","0.0674409787480371","3"
