"","BirdID","birthyear","occasionyear","age_year","newlifespan","newFPID","newstat","BodyMass","RightTarsus","Observer","SexEstimate","CatchTime_mins","new_bug"
"1",21,1983,1984,1,4916,4,"Sub",NA,NA,NA,"1",NA,NA
"2",21,1983,1985,2,4916,5,"Dom",NA,NA,NA,"1",NA,NA
"3",21,1983,1986,3,4916,6,"Dom",NA,NA,NA,"1",NA,NA
"4",21,1983,1987,4,4916,7,"Dom",NA,NA,NA,"1",NA,5.08906934631664
"5",21,1983,1988,5,4916,8,"Dom",NA,NA,NA,"1",NA,NA
"6",21,1983,1989,6,4916,10,"Dom",NA,NA,NA,"1",NA,NA
"7",21,1983,1990,7,4916,12,"Dom",15.6999998092651,NA,NA,"1",NA,2.6524428182
"8",21,1983,1991,8,4916,14,"Dom",NA,NA,NA,"1",NA,NA
"9",21,1983,1992,9,4916,NA,"Sub",NA,NA,NA,"1",NA,NA
"10",21,1983,1993,10,4916,16,"Dom",NA,NA,NA,"1",NA,NA
"11",21,1983,1994,11,4916,17,"Dom",16.5,NA,"JK","1",NA,NA
"12",21,1983,1995,12,4916,19,"Dom",NA,NA,NA,"1",NA,NA
"13",21,1983,1996,13,4916,21,"Dom",NA,NA,NA,"1",NA,5.504502192368
"14",22,1983,1984,1,5196,4,"Dom",NA,NA,NA,"1",NA,NA
"15",22,1983,1985,2,5196,5,"Dom",NA,NA,NA,"1",NA,NA
"16",22,1983,1986,3,5196,6,"Dom",NA,NA,NA,"1",NA,NA
"17",22,1983,1987,4,5196,7,"Dom",NA,NA,NA,"1",NA,5.08906934631664
"18",22,1983,1988,5,5196,8,"Dom",NA,NA,NA,"1",NA,NA
"19",22,1983,1989,6,5196,10,"Dom",NA,NA,NA,"1",NA,NA
"20",22,1983,1990,7,5196,12,"Dom",16,NA,NA,"1",NA,2.6524428182
"21",22,1983,1991,8,5196,14,"Sub",NA,NA,NA,"1",NA,NA
"22",22,1983,1992,9,5196,NA,"Sub",NA,NA,NA,"1",NA,NA
"23",22,1983,1993,10,5196,16,"Dom",16.2999992370605,NA,"JK","1",NA,NA
"24",22,1983,1994,11,5196,17,"Dom",NA,NA,NA,"1",NA,NA
"25",22,1983,1995,12,5196,19,"Dom",NA,NA,NA,"1",NA,NA
"26",22,1983,1996,13,5196,21,"Dom",NA,NA,NA,"1",NA,5.504502192368
"27",22,1983,1997,14,5196,22,"Sub",NA,NA,NA,"1",NA,6.34906043057842
"28",23,1982,1983,1,2813,3,"Sub",NA,NA,NA,"1",NA,NA
"29",23,1982,1984,2,2813,4,"Sub",NA,NA,NA,"1",NA,NA
"30",23,1982,1985,3,2813,5,"Dom",NA,NA,NA,"1",NA,NA
"31",23,1982,1986,4,2813,6,"Dom",NA,NA,NA,"1",NA,NA
"32",23,1982,1987,5,2813,7,"Dom",NA,NA,NA,"1",NA,5.08906934631664
"33",23,1982,1988,6,2813,8,"Dom",NA,NA,NA,"1",NA,NA
"34",23,1982,1989,7,2813,10,"Dom",NA,NA,NA,"1",NA,NA
"35",23,1982,1990,8,2813,12,"Sub",16.7999992370605,NA,"JK","1",NA,2.6524428182
"36",24,1983,1984,1,2636,4,"Sub",NA,NA,NA,"1",NA,NA
"37",24,1983,1985,2,2636,5,"Dom",NA,NA,NA,"1",NA,NA
"38",24,1983,1986,3,2636,6,"Dom",NA,NA,NA,"1",NA,NA
"39",24,1983,1987,4,2636,7,"Dom",NA,NA,NA,"1",NA,5.08906934631664
"40",24,1983,1988,5,2636,8,"Dom",NA,NA,NA,"1",NA,NA
"41",24,1983,1989,6,2636,10,"Dom",NA,NA,NA,"1",NA,NA
"42",24,1983,1990,7,2636,12,"Sub",16.1000003814697,NA,"JK","1",NA,2.6524428182
"43",25,1983,1984,1,4701,4,"Sub",NA,NA,NA,"1",NA,NA
"44",25,1983,1985,2,4701,5,"Sub",NA,NA,NA,"1",NA,NA
"45",25,1983,1986,3,4701,6,"Sub",NA,NA,NA,"1",NA,NA
"46",25,1983,1987,4,4701,7,"Sub",NA,NA,NA,"1",NA,5.08906934631664
"47",25,1983,1988,5,4701,8,"Sub",NA,NA,NA,"1",NA,NA
"48",25,1983,1989,6,4701,10,"Sub",NA,NA,NA,"1",NA,NA
"49",25,1983,1990,7,4701,12,"Sub",NA,NA,NA,"1",NA,2.65244281811658
"50",25,1983,1991,8,4701,14,"Dom",NA,NA,NA,"1",NA,NA
"51",25,1983,1992,9,4701,NA,"Sub",NA,NA,NA,"1",NA,NA
"52",25,1983,1993,10,4701,16,"Dom",16.5,NA,"JK","1",NA,NA
"53",25,1983,1994,11,4701,17,"Dom",NA,NA,NA,"1",NA,NA
"54",25,1983,1995,12,4701,19,"Dom",16.3999996185303,NA,"JK","1",NA,NA
"55",25,1983,1995,12,4701,19,"Dom",15.6999998092651,NA,"AD","1",NA,NA
"56",25,1983,1996,13,4701,21,"Dom",NA,NA,NA,"1",NA,5.504502192368
"57",29,1983,1984,1,5088,4,"Sub",NA,NA,NA,"1",NA,NA
"58",29,1983,1985,2,5088,5,"Dom",NA,NA,NA,"1",NA,NA
"59",29,1983,1986,3,5088,6,"Dom",NA,NA,NA,"1",NA,NA
"60",29,1983,1987,4,5088,7,"Dom",NA,NA,NA,"1",NA,5.08906934631664
"61",29,1983,1988,5,5088,8,"Dom",NA,NA,NA,"1",NA,NA
"62",29,1983,1989,6,5088,10,"Dom",NA,NA,NA,"1",NA,NA
"63",29,1983,1990,7,5088,12,"Dom",NA,NA,NA,"1",NA,2.65244281811658
"64",29,1983,1991,8,5088,14,"Dom",NA,NA,NA,"1",NA,NA
"65",29,1983,1992,9,5088,NA,"Sub",NA,NA,NA,"1",NA,NA
"66",29,1983,1993,10,5088,16,"Dom",NA,NA,NA,"1",NA,NA
"67",29,1983,1994,11,5088,17,"Dom",16.2000007629395,NA,"LG","1",NA,NA
"68",29,1983,1995,12,5088,19,"Dom",15.8000001907349,NA,"AD","1",NA,NA
"69",29,1983,1996,13,5088,21,"Dom",16.7000007629395,NA,"PE","1",NA,5.50450219233333
"70",29,1983,1997,14,5088,22,"Sub",NA,NA,NA,"1",NA,6.34906043057842
"71",31,1983,1984,1,4499,4,"Dom",NA,NA,NA,"0",NA,NA
"72",31,1983,1985,2,4499,5,"Dom",NA,NA,NA,"0",NA,NA
