"","BirdID","FieldPeriodID","Status","BirthDate","Island","PeriodYear","BirthFieldPeriodID","PeriodEnd"
"1",20,3,"SEEN1",1982-06-05,"CN",1983,2,1983-11-28
"2",20,4,"U",1982-06-05,"CN",1984,2,1984-09-26
"3",21,3,"AB",1983-02-25,"CN",1983,2,1983-11-28
"4",21,4,"NSA",1983-02-25,"CN",1984,2,1984-09-26
"5",21,5,"BrM",1983-02-25,"CN",1985,2,1985-11-27
"6",21,6,"BrM",1983-02-25,"CN",1986,2,1986-12-05
"7",21,7,"BrM",1983-02-25,"CN",1987,2,1988-01-28
"8",21,8,"BrM",1983-02-25,"CN",1988,2,1989-03-24
"9",21,10,"BrM",1983-02-25,"CN",1989,2,1989-11-26
"10",21,12,"BrM",1983-02-25,"CN",1990,2,1990-09-12
"11",21,14,"BrM",1983-02-25,"CN",1991,2,1991-12-31
"12",21,16,"BrM",1983-02-25,"CN",1993,2,1993-08-13
"13",21,17,"BrM",1983-02-25,"CN",1994,2,1994-07-29
"14",21,19,"BrM",1983-02-25,"CN",1995,2,1995-09-14
"15",21,21,"BrM",1983-02-25,"CN",1996,2,1996-08-11
"16",22,3,"SEEN2",1983-06-07,"CN",1983,3,1983-11-28
"17",22,4,"BrM",1983-06-07,"CN",1984,3,1984-09-26
"18",22,5,"BrM",1983-06-07,"CN",1985,3,1985-11-27
"19",22,6,"BrM",1983-06-07,"CN",1986,3,1986-12-05
"20",22,7,"BrM",1983-06-07,"CN",1987,3,1988-01-28
"21",22,8,"BrM",1983-06-07,"CN",1988,3,1989-03-24
"22",22,10,"BrM",1983-06-07,"CN",1989,3,1989-11-26
"23",22,12,"BrM",1983-06-07,"CN",1990,3,1990-09-12
"24",22,14,"NSA",1983-06-07,"CN",1991,3,1991-12-31
"25",22,16,"BrM",1983-06-07,"CN",1993,3,1993-08-13
"26",22,17,"BrM",1983-06-07,"CN",1994,3,1994-07-29
"27",22,19,"BrM",1983-06-07,"CN",1995,3,1995-09-14
"28",22,21,"BrM",1983-06-07,"CN",1996,3,1996-08-11
"29",22,22,"SEEN1",1983-06-07,"CN",1997,3,1997-08-28
"30",23,3,"ABX",1982-12-30,"CN",1983,2,1983-11-28
"31",23,4,"NSA",1982-12-30,"CN",1984,2,1984-09-26
"32",23,5,"BrM",1982-12-30,"CN",1985,2,1985-11-27
"33",23,6,"BrM",1982-12-30,"CN",1986,2,1986-12-05
"34",23,7,"BrM",1982-12-30,"CN",1987,2,1988-01-28
"35",23,8,"BrM",1982-12-30,"CN",1988,2,1989-03-24
"36",23,10,"BrM",1982-12-30,"CN",1989,2,1989-11-26
"37",23,12,"TBrM",1982-12-30,"CN",1990,2,1990-09-12
"38",24,3,"ABX",1983-06-25,"CN",1983,3,1983-11-28
"39",24,4,"ABX",1983-06-25,"CN",1984,3,1984-09-26
"40",24,5,"BrM",1983-06-25,"CN",1985,3,1985-11-27
"41",24,6,"BrM",1983-06-25,"CN",1986,3,1986-12-05
"42",24,7,"BrM",1983-06-25,"CN",1987,3,1988-01-28
"43",24,8,"BrM",1983-06-25,"CN",1988,3,1989-03-24
"44",24,10,"BrM",1983-06-25,"CN",1989,3,1989-11-26
"45",24,12,"TBrM",1983-06-25,"CN",1990,3,1990-09-12
"46",25,3,"SEEN1",1983-09-28,"CN",1983,3,1983-11-28
"47",25,4,"NSA",1983-09-28,"CN",1984,3,1984-09-26
"48",25,5,"NSA",1983-09-28,"CN",1985,3,1985-11-27
"49",25,6,"NSA",1983-09-28,"CN",1986,3,1986-12-05
"50",25,7,"NSA",1983-09-28,"CN",1987,3,1988-01-28
"51",25,8,"NSA",1983-09-28,"CN",1988,3,1989-03-24
"52",25,10,"NSA",1983-09-28,"CN",1989,3,1989-11-26
"53",25,12,"NSA",1983-09-28,"CN",1990,3,1990-09-12
"54",25,14,"BrM",1983-09-28,"CN",1991,3,1991-12-31
"55",25,16,"BrM",1983-09-28,"CN",1993,3,1993-08-13
"56",25,17,"BrM",1983-09-28,"CN",1994,3,1994-07-29
"57",25,19,"BrM",1983-09-28,"CN",1995,3,1995-09-14
"58",25,21,"BrM",1983-09-28,"CN",1996,3,1996-08-11
"59",26,3,"U",1982-10-22,"CN",1983,2,1983-11-28
"60",27,3,"BrF",1982-10-24,"CN",1983,2,1983-11-28
"61",27,4,"BrF",1982-10-24,"CN",1984,2,1984-09-26
