"","BirdID","FieldPeriodID","Status","BirthDate","Island","PeriodYear","BirthFieldPeriodID","PeriodEnd.x","birthyear","age","survival","PeriodEndYear","SexEstimate","PeriodStart","PeriodEnd.y","seasonlength","season","no_st","nrns","lifespan"
"1",335,30,"CH","2003-08-27","CN",2003,30,"2003-09-01",2003,0,1,2003,1,"2003-06-06","2003-09-02",88,"main",2,1,372
"2",335,34,"FLOAT","2003-08-27","CN",2004,30,"2004-09-01",2003,1,1,2004,1,"2004-05-30","2004-09-02",95,"main",2,1,372
"3",335,35,"NS","2003-08-27","CN",2005,30,"2005-01-11",2003,2,0,2005,1,"2004-12-18","2005-01-12",25,"winter",1,1,372
"4",436,16,"AB","1992-12-10","CN",1992,14,"1993-08-12",1992,0,1,1993,1,"1993-08-07","1993-08-13",6,"main",1,1,2803
"5",436,16,"AB","1992-12-10","CN",1993,14,"1993-08-12",1992,1,1,1993,1,"1993-08-07","1993-08-13",6,"main",1,1,2803
"6",436,17,"AB","1992-12-10","CN",1994,14,"1994-07-28",1992,2,1,1994,1,"1994-07-07","1994-07-29",22,"main",1,1,2803
"7",436,19,"BrM","1992-12-10","CN",1995,14,"1995-09-13",1992,3,1,1995,1,"1995-05-22","1995-09-14",115,"main",1,1,2803
"8",436,21,"BrM","1992-12-10","CN",1996,14,"1996-08-10",1992,4,1,1996,1,"1996-06-24","1996-08-11",48,"main",1,1,2803
"9",436,22,"BrM","1992-12-10","CN",1997,14,"1997-08-27",1992,5,1,1997,1,"1997-07-01","1997-08-28",58,"main",1,1,2803
"10",436,25,"BrM","1992-12-10","CN",1998,14,"1998-09-26",1992,6,1,1998,1,"1998-06-20","1998-09-27",99,"main",2,1,2803
"11",436,28,"BrM","1992-12-10","CN",1999,14,"1999-09-25",1992,7,1,1999,1,"1999-07-02","1999-09-26",86,"main",3,1,2803
"12",436,39,"BrM","1992-12-10","CN",2000,14,"2000-08-12",1992,8,1,2000,1,"2000-07-25","2000-08-13",19,"main",1,1,2803
"13",436,NA,"NS",NA,NA,2001,NA,NA,1992,9,0,2001,1,NA,NA,NA,NA,1,1,2803
"14",437,16,"ABX","1992-12-10","CN",1992,14,"1993-08-12",1992,0,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,246
"15",437,16,"ABX","1992-12-10","CN",1993,14,"1993-08-12",1992,1,1,1993,0,"1993-08-07","1993-08-13",6,"main",1,1,246
"16",437,NA,"NS",NA,NA,1994,NA,NA,1992,2,0,1994,0,NA,NA,NA,NA,1,1,246
"17",438,16,"BrM","1992-08-07","CN",1992,14,"1993-08-12",1992,0,1,1993,1,"1993-08-07","1993-08-13",6,"main",1,1,371
"18",438,16,"BrM","1992-08-07","CN",1993,14,"1993-08-12",1992,1,1,1993,1,"1993-08-07","1993-08-13",6,"main",1,1,371
"19",438,NA,"NS",NA,NA,1994,NA,NA,1992,2,0,1994,1,NA,NA,NA,NA,1,1,371
