"","BirdID","CatchID","HaematocritID","BuffyCoat","Total","Cells","BleedToSpinTime","birthyear","birthday","BloodID","BloodSource","OccasionDate","Island","occasionyear","oc","year","age","lifespan","age_date","wbc","Status","FieldPeriodID","OccasionID","TerritoryID","Resident","CatchType","BleedTime","CatchTime","SexEstimate","lifespan_yrs","wbc_z","Cells_z","AveAge","WithinAge","Year","avg_invert","TerritoryNumber","TQ","TQcorrected","newstat","Observer","newlifespan"
"1",51,2936,26,0.370000004768372,56.2400016784668,24.1599998474121,NA,1987,"1987-03-08",72,"A","2003-06-18","CN",2003,1,1,16,6022,5946,0.00657894725686037,"BrM",30,1135,51,NA,"R",NA,"16:13:00",1,16.4986301369863,0.327888637547372,0.366561402896882,16,0,2003,3.65308711307692,35,15620.29485,15620.29485,"Dom","CE",5687
"2",221,2937,12,0.219999998807907,60.5699996948242,23.4500007629395,NA,1988,"1988-06-25",56,"A","2003-06-10","CN",2003,1,1,15,6378,5463,0.00363216113449488,"BrM",30,1126,45,NA,"R",NA,"15:55:00",1,17.4739726027397,-0.384789610622717,0.226547378007204,15,0,2003,3.65308711307692,32,19130.30157,19130.30157,"Dom","DR",6378
"3",441,3704,256,0.259999990463257,58.8499984741211,25.1499996185303,NA,1992,"1992-08-07",403,"A","2004-08-09","CN",2004,1,1,12,5288,4385,0.00441801184714712,"BrF",34,1447,38,NA,"R",NA,"08:05:00",0,14.4876712328767,-0.194732142601714,0.561792432944031,12,0,2004,3.1884100425,28,17355.05498,17355.05498,"Dom","LB",5288
"4",453,2940,68,0.180000007152557,52.9300003051758,22.1700000762939,NA,1992,"1992-08-10",117,"A","2003-07-09","CN",2003,1,1,11,6430,3985,0.00340071804486567,"BrM",30,1159,69,NA,"C",NA,"08:30:00",1,17.6164383561644,-0.440763966690205,-0.0258727333960767,14,-3,2003,3.65308711307692,48,12018.41757,12018.41757,"Dom","LB",6430
"5",453,6738,1326,0.170000001788139,59.7299995422363,25.5400009155273,468,1992,"1992-08-10",4321,"A","2009-07-14","CN",2009,1,1,17,6430,6182,0.00284614101943745,"BrM",92,2456,69,NA,"R",NA,"10:02:00",1,17.6164383561644,-0.574888048501848,0.638701900151734,14,3,2009,4.5509424385,48,9466.69573,9466.69573,"Dom","LAB",6430
"6",458,3109,131,0,41.1599998474121,17.5100002288818,NA,1992,"1992-08-11",238,"A","2003-12-15","CN",2003,1,1,11,4779,4143,0,"BrF",31,1228,14,NA,"R",NA,"11:45:00",0,13.0931506849315,-1.26322534600122,-0.94483917841074,11,0,NA,NA,NA,NA,NA,"Dom","LB",3704
"7",497,3694,244,0.219999998807907,64.7699966430664,24.8700008392334,NA,1993,"1993-07-08",401,"A","2004-08-02","CN",2004,1,1,11,5183,4043,0.00339663440188642,"BrM",34,1431,8,NA,"R",NA,"15:10:00",1,14.2,-0.441751593007064,0.506575803921647,12.5,-1.5,2004,3.1884100425,5,8333.941562,8333.941562,"Dom","LB",5183
"8",497,6221,896,0.170000001788139,54.0200004577637,21.1100006103516,156,1993,"1993-07-08",3850,"A","2007-08-31","CN",2007,1,1,14,5183,5167,0.00314698260547139,"BrM",82,2237,8,NA,"R",NA,"08:40:00",1,14.2,-0.502129712603595,-0.234907920698797,12.5,1.5,2007,2.00111878428571,5,6214.238272,6214.238272,"Dom","PS",5183
"9",503,2943,76,0.239999994635582,56.8400001525879,21.4400005340576,NA,1993,"1993-07-08",128,"A","2003-07-11","CN",2003,1,1,10,5341,3655,0.0042223785009025,"BrF",30,1162,33,NA,"R",NA,"10:25:00",0,14.6328767123288,-0.242045936238474,-0.169830910683094,12,-2,2003,3.65308711307692,25,10141.82176,10141.82176,"Dom","CE",5341
"10",503,6139,823,0.00999999977648258,49.4500007629395,21.1700000762939,152,1993,"1993-07-08",3776,"A","2007-07-24","CN",2007,1,1,14,5341,5129,0.000202224461520678,"BrF",82,2225,33,NA,"R",NA,"10:20:00",0,14.6328767123288,-1.21431749555362,-0.223075839641886,12,2,2007,2.00111878428571,25,11394.82634,11394.82634,"Dom","PS",5341
"11",507,2944,121,0.100000001490116,43.4700012207031,17.3700008392334,NA,1993,"1993-07-08",217,"A","2003-08-27","CN",2003,1,1,10,5540,3702,0.00230043705272522,"BrM",30,1213,30,NA,"R",NA,"17:02:00",1,15.1780821917808,-0.706866187011523,-0.972447492921922,NA,NA,2003,3.65308711307692,NA,NA,NA,"Dom","LB",5540
"12",510,2958,30,0.28999999165535,57,23.4899997711182,NA,1993,"1993-07-11",74,"A","2003-06-20","CN",2003,1,1,10,5180,3631,0.00508771915184825,"BrM",30,1137,126,NA,"R",NA,"17:00:00",1,14.1917808219178,-0.032763879931202,0.234435306666796,10,0,2003,3.65308711307692,86,13759.1804,13759.1804,"Dom","CE",5180
"13",544,2946,83,0.360000014305115,57.1300010681152,23.9699993133545,NA,1993,"1993-07-21",137,"A","2003-07-17","CN",2003,1,1,10,4193,3648,0.00630141795159242,"BrM",30,1169,159,NA,"R",NA,"11:15:00",1,11.4876712328767,0.260768361123831,0.32909270739236,10,0,2003,3.65308711307692,103.1,35682.17198,35682.17198,"Dom","LB",3360
"14",544,3122,161,0.25,35.7599983215332,15.0500001907349,NA,1993,"1993-07-21",263,"A","2003-12-27","CN",2003,1,1,10,4193,3811,0.00699105178227764,"BrM",31,1245,159,NA,"R",NA,"10:10:00",1,11.4876712328767,0.427555840744862,-1.42995882729812,10,0,NA,NA,NA,NA,NA,"Dom","LB",3360
"15",595,3637,220,0.159999996423721,47.0800018310547,20.0499992370605,NA,1993,"1993-07-08",357,"A","2004-07-05","CN",2004,1,1,11,4206,4015,0.00339847048005386,"BrF",34,1367,9,NA,"R",NA,"10:10:00",0,11.5232876712329,-0.441307538733175,-0.443943484136625,11,0,2004,3.1884100425,6,14251.65173,14251.65173,"Dom","LB",3373
