"","BirdID","birthyear","FieldPeriodID","OccasionID","OccasionDate","Island","CatchID","TerritoryID","Resident","CatchTime","BodyMass","RightTarsus","LeftTarsus","WingLength","HeadBill","BillLength","BillHeight","CloacaWidth","CloacaHeight","FeatherMites","FatScore","occasionyear","birthday","age_date","age_year","Observer","ExactDate","Status","lifespan","TerritoryNumber","TQ","TQcorrected","SexEstimate","catch_time","CatchTime_mins","avg_invert","newstat","newlifespan","BodyMass_z","WingLength_z","RightTarsus_z"
"1",20,1982,4,59,"1984-07-11","CN",2466,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,"1982-06-05",767,2,NA,1,"U",844,NA,NA,NA,NA,NA,NA,NA,"Sub",844,NA,NA,NA
"2",20,1982,3,41,"1983-06-04","CN",3829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983,"1982-06-05",364,1,"TD",1,"SEEN1",844,NA,NA,NA,NA,NA,NA,NA,"Sub",844,NA,NA,NA
"3",21,1983,12,239,"1990-03-18","CN",2465,28,NA,NA,15.6999998092651,NA,27.2000007629395,69.3000030517578,NA,NA,NA,NA,NA,NA,NA,1990,"1983-02-25",2578,7,NA,1,"BrM",4916,22,55522.64395,27761.32198,1,NA,NA,2.6524428182,"Dom",4916,0.073056461948988,0.918889870095097,NA
"4",21,1983,17,332,"1994-07-07","CN",2464,28,NA,NA,16.5,NA,25.8999996185303,69,NA,NA,NA,NA,NA,NA,NA,1994,"1983-02-25",4150,11,"JK",1,"BrM",4916,NA,NA,NA,1,NA,NA,NA,"Dom",4916,0.739294978315799,0.777803717781335,NA
"5",22,1983,12,239,"1990-03-18","CN",2463,16,NA,NA,16,NA,28.7000007629395,71,NA,NA,NA,NA,NA,NA,NA,1990,"1983-06-07",2476,7,NA,1,"BrM",5196,11,55163.91442,27581.95721,1,NA,NA,2.6524428182,"Dom",5196,0.322896004863813,1.71836849862007,NA
"6",22,1983,16,322,"1993-08-09","CN",2462,16,NA,NA,16.2999992370605,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,1993,"1983-06-07",3716,10,"JK",1,"BrM",5196,NA,NA,NA,1,NA,NA,NA,"Dom",5196,0.572734753560556,1.2480861082007,NA
"7",23,1982,12,252,"1990-06-30","CN",2458,4,NA,NA,16.7999992370605,NA,29,70,NA,NA,NA,NA,NA,NA,NA,1990,"1982-12-30",2739,8,"JK",1,"TBrM",NA,3,44501.30648,22250.65324,1,NA,NA,2.6524428182,"Sub",2813,0.989133727012542,1.2480861082007,NA
"8",24,1983,12,251,"1990-06-29","CN",2456,45,NA,NA,16.1000003814697,NA,28.6000003814697,71,NA,NA,NA,NA,NA,NA,NA,1990,"1983-06-25",2561,7,"JK",1,"TBrM",NA,32,45464.96508,22732.48254,1,NA,NA,2.6524428182,"Sub",2636,0.406176117241395,1.71836849862007,NA
"9",25,1983,19,515,"1995-08-08","CN",2454,52,NA,NA,15.6999998092651,NA,25.2999992370605,72,NA,NA,NA,NA,NA,NA,NA,1995,"1983-09-28",4332,12,"AD",1,"BrM",4701,NA,NA,NA,1,NA,NA,NA,"Dom",4701,0.073056461948988,2.18865088903943,NA
"10",25,1983,16,320,"1993-08-07","CN",2455,52,NA,NA,16.5,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,1993,"1983-09-28",3601,10,"JK",1,"BrM",4701,NA,NA,NA,1,NA,NA,NA,"Dom",4701,0.739294978315799,2.6589332794588,NA
