"","BirdID","birthyear","occasionyear","age_year","newlifespan","FPID","newstat","prate","Observer","SexEstimate","new_bug","BroodSize","nr_helpers","WatchType"
"1",25,1983,1983,0,4701,3,"Sub",NA,NA,"1",NA,NA,NA,NA
"2",25,1983,1984,1,4701,4,"Sub",NA,NA,"1",NA,NA,NA,NA
"3",25,1983,1985,2,4701,5,"Sub",NA,NA,"1",NA,NA,NA,NA
"4",25,1983,1986,3,4701,6,"Sub",NA,NA,"1",NA,NA,NA,NA
"5",25,1983,1987,4,4701,7,"Sub",NA,NA,"1",5.08906934631664,NA,NA,NA
"6",25,1983,1988,5,4701,8,"Sub",NA,NA,"1",NA,NA,NA,NA
"7",25,1983,1989,6,4701,10,"Sub",NA,NA,"1",NA,NA,NA,NA
"8",25,1983,1990,7,4701,12,"Sub",NA,NA,"1",2.65244281811658,NA,NA,NA
"9",25,1983,1991,8,4701,14,"Dom",NA,NA,"1",NA,NA,NA,NA
"10",25,1983,1992,9,4701,NA,"Sub",NA,NA,"1",NA,NA,NA,NA
"11",25,1983,1993,10,4701,16,"Dom",NA,NA,"1",NA,NA,NA,NA
"12",25,1983,1994,11,4701,17,"Dom",NA,NA,"1",NA,NA,NA,NA
"13",25,1983,1995,12,4701,19,"Dom",0.0888888888888889,NA,"1",NA,1,0,"FI"
"14",25,1983,1995,12,4701,19,"Dom",0.0823529411764706,NA,"1",NA,1,0,"FI"
"15",25,1983,1996,13,4701,21,"Dom",NA,NA,"1",5.504502192368,NA,NA,NA
"16",51,1987,1987,0,5687,7,"Sub",NA,NA,"1",5.08906934631664,NA,NA,NA
"17",51,1987,1988,1,5687,8,"Sub",NA,NA,"1",NA,NA,NA,NA
"18",51,1987,1989,2,5687,10,"Sub",NA,NA,"1",NA,NA,NA,NA
"19",51,1987,1990,3,5687,12,"Sub",NA,NA,"1",2.65244281811658,NA,NA,NA
"20",51,1987,1991,4,5687,14,"Sub",NA,NA,"1",NA,NA,NA,NA
"21",51,1987,1992,5,5687,NA,"Sub",NA,NA,"1",NA,NA,NA,NA
"22",51,1987,1993,6,5687,16,"Dom",NA,NA,"1",NA,NA,NA,NA
"23",51,1987,1994,7,5687,17,"Sub",NA,NA,"1",NA,NA,NA,NA
"24",51,1987,1995,8,5687,19,"Dom",NA,NA,"1",NA,NA,NA,NA
"25",51,1987,1996,9,5687,21,"Dom",NA,NA,"1",5.504502192368,NA,NA,NA
"26",51,1987,1997,10,5687,22,"Dom",NA,NA,"1",6.34906043057842,NA,NA,NA
"27",51,1987,1998,11,5687,25,"Dom",0.05,NA,"1",3.40909704426667,1,0,"FI"
"28",51,1987,1999,12,5687,28,"Dom",NA,NA,"1",5.15521640609487,NA,NA,NA
"29",51,1987,2000,13,5687,39,"Dom",NA,NA,"1",NA,NA,NA,NA
"30",51,1987,2001,14,5687,40,"Dom",NA,NA,"1",NA,NA,NA,NA
"31",51,1987,2002,15,5687,41,"Dom",NA,NA,"1",NA,NA,NA,NA
"32",51,1987,2003,16,5687,30,"Dom",NA,NA,"1",3.65308711255895,NA,NA,NA
"33",64,1987,1987,0,3877,7,"Sub",NA,NA,"0",5.08906934631664,NA,NA,NA
"34",64,1987,1988,1,3877,8,"Dom",NA,NA,"0",NA,NA,NA,NA
"35",64,1987,1989,2,3877,10,"Dom",NA,NA,"0",NA,NA,NA,NA
"36",64,1987,1990,3,3877,12,"Dom",NA,NA,"0",2.65244281811658,NA,NA,NA
"37",64,1987,1991,4,3877,14,"Dom",NA,NA,"0",NA,NA,NA,NA
"38",64,1987,1992,5,3877,NA,"Sub",NA,NA,"0",NA,NA,NA,NA
"39",64,1987,1993,6,3877,16,"Dom",NA,NA,"0",NA,NA,NA,NA
"40",64,1987,1994,7,3877,17,"Dom",NA,NA,"0",NA,NA,NA,NA
"41",64,1987,1995,8,3877,19,"Dom",0.0666666666666667,NA,"0",NA,1,1,"FL"
"42",64,1987,1995,8,3877,19,"Dom",0.0111111111111111,NA,"0",NA,1,1,"F"
"43",64,1987,1995,8,3877,19,"Dom",0.0111111111111111,NA,"0",NA,1,1,"FI"
"44",64,1987,1996,9,3877,21,"Dom",NA,NA,"0",5.504502192368,NA,NA,NA
"45",64,1987,1997,10,3877,22,"Dom",NA,NA,"0",6.34906043057842,NA,NA,NA
"46",64,1987,1998,11,3877,25,"Sub",NA,NA,"0",3.40909704468116,NA,NA,NA
"47",65,1987,1987,0,3877,7,"Sub",NA,NA,"1",5.08906934631664,NA,NA,NA
"48",65,1987,1988,1,3877,8,"Dom",NA,NA,"1",NA,NA,NA,NA
"49",65,1987,1989,2,3877,10,"Dom",NA,NA,"1",NA,NA,NA,NA
"50",65,1987,1990,3,3877,12,"Dom",NA,NA,"1",2.65244281811658,NA,NA,NA
"51",65,1987,1991,4,3877,14,"Dom",NA,NA,"1",NA,NA,NA,NA
"52",65,1987,1992,5,3877,NA,"Sub",NA,NA,"1",NA,NA,NA,NA
"53",65,1987,1993,6,3877,16,"Dom",NA,NA,"1",NA,NA,NA,NA
"54",65,1987,1994,7,3877,17,"Dom",NA,NA,"1",NA,NA,NA,NA
"55",65,1987,1995,8,3877,19,"Dom",0.155555555555556,NA,"1",NA,1,0,"FI"
"56",65,1987,1996,9,3877,21,"Dom",NA,NA,"1",5.504502192368,NA,NA,NA
"57",65,1987,1997,10,3877,22,"Dom",NA,NA,"1",6.34906043057842,NA,NA,NA
"58",65,1987,1998,11,3877,25,"Sub",NA,NA,"1",3.40909704468116,NA,NA,NA
"59",75,1987,1987,0,3254,7,"Sub",NA,NA,"1",5.08906934631664,NA,NA,NA
"60",75,1987,1988,1,3254,8,"Dom",NA,NA,"1",NA,NA,NA,NA
"61",75,1987,1989,2,3254,10,"Dom",NA,NA,"1",NA,NA,NA,NA
"62",75,1987,1990,3,3254,12,"Dom",NA,NA,"1",2.65244281811658,NA,NA,NA
"63",75,1987,1991,4,3254,14,"Dom",NA,NA,"1",NA,NA,NA,NA
"64",75,1987,1992,5,3254,NA,"Sub",NA,NA,"1",NA,NA,NA,NA
"65",75,1987,1993,6,3254,16,"Dom",NA,NA,"1",NA,NA,NA,NA
"66",75,1987,1994,7,3254,17,"Dom",NA,NA,"1",NA,NA,NA,NA
"67",75,1987,1995,8,3254,19,"Dom",0.144444444444444,NA,"1",NA,1,2,"FL"
"68",75,1987,1996,9,3254,21,"Dom",NA,NA,"1",5.504502192368,NA,NA,NA
"69",168,1989,1989,0,4394,10,"Sub",NA,NA,"0",NA,NA,NA,NA
"70",168,1989,1990,1,4394,12,"Sub",NA,NA,"0",2.65244281811658,NA,NA,NA
"71",168,1989,1991,2,4394,14,"Dom",NA,NA,"0",NA,NA,NA,NA
"72",168,1989,1992,3,4394,NA,"Sub",NA,NA,"0",NA,NA,NA,NA
"73",168,1989,1993,4,4394,16,"Dom",NA,NA,"0",NA,NA,NA,NA
"74",168,1989,1994,5,4394,17,"Dom",NA,NA,"0",NA,NA,NA,NA
"75",168,1989,1995,6,4394,19,"Dom",0.2,NA,"0",NA,1,1,"F"
"76",168,1989,1995,6,4394,19,"Dom",0.3,NA,"0",NA,1,1,"F"
"77",168,1989,1996,7,4394,21,"Dom",NA,NA,"0",5.504502192368,NA,NA,NA
"78",168,1989,1997,8,4394,22,"Dom",0.166666666666667,NA,"0",6.34906043033333,1,1,"FL"
"79",168,1989,1998,9,4394,25,"Dom",NA,NA,"0",3.40909704468116,NA,NA,NA
"80",168,1989,1999,10,4394,28,"Dom",NA,NA,"0",5.15521640609487,NA,NA,NA
"81",168,1989,2000,11,4394,39,"Dom",NA,NA,"0",NA,NA,NA,NA
"82",168,1989,2001,12,4394,40,"Dom",NA,NA,"0",NA,NA,NA,NA
"83",169,1988,1988,0,4030,8,"Sub",NA,NA,"0",NA,NA,NA,NA
"84",169,1988,1989,1,4030,10,"Dom",NA,NA,"0",NA,NA,NA,NA
"85",169,1988,1990,2,4030,12,"Dom",NA,NA,"0",2.65244281811658,NA,NA,NA
"86",169,1988,1991,3,4030,14,"Dom",NA,NA,"0",NA,NA,NA,NA
"87",169,1988,1992,4,4030,NA,"Sub",NA,NA,"0",NA,NA,NA,NA
"88",169,1988,1993,5,4030,16,"Dom",NA,NA,"0",NA,NA,NA,NA
