"";"BirdID";"NestWatchID";"Behaviour";"NestID";"LayDateEarliest";"LayDateLatest";"HatchDateEarliest";"HatchDateLatest";"WatchDate";"BreedGroupID";"ClutchSize";"BroodSize";"ObsDuration";"StartTime";"StatusID";"Status";"Observer";"year";"nrfeeding";"prate";"birthyear";"birthday";"age";"age_years";"age_days";"FieldPeriodID";"TerritoryID";"PeriodStart";"PeriodEnd";"PeriodYear";"groupsize";"nr_helpers";"Island";"Year";"TerritoryNumber";"TQ";"TQcorrected";"prate_z";"lifespan";"lifespan_yrs";"AveAge";"WithinAge";"newstat";"occasionyear";"avg_invert";"SexEstimate";"WatchType";"newlifespan"
"1";25;638;FALSE;2214;"1995-07-05";"1995-07-08";"1995-07-21";"1995-07-21";"1995-07-20";2106;1;1;90;"14:27:00";5735;"BrM";NA;1995;8;0,0888888888888889;1983;"1983-09-28";12;12;4313;19;52;"1995-05-22";"1995-09-14";1995;6;0;NA;NA;NA;NA;NA;-0,452871598066071;4701;12,8794520547945;12;0;"Dom";1995;NA;1;"FI";4701
"2";25;681;FALSE;2214;"1995-07-05";"1995-07-08";"1995-07-21";"1995-07-21";"1995-07-27";2106;1;1;85;"09:00:00";5735;"BrM";NA;1995;7;0,0823529411764706;1983;"1983-09-28";12;12;4320;19;52;"1995-05-22";"1995-09-14";1995;6;0;NA;NA;NA;NA;NA;-0,542242871513848;4701;12,8794520547945;12;0;"Dom";1995;NA;1;"FI";4701
"3";51;394;FALSE;225;"1998-08-12";"1998-08-18";"1998-09-01";"1998-09-01";"1998-09-04";220;1;1;60;"11:15:00";3615;"BrM";NA;1998;3;0,05;1987;"1987-03-08";11;11;4198;25;51;"1998-06-20";"1998-09-27";1998;4;0;"CN";1998;35;45916,2955;45916,2955;-0,984630675080341;6022;16,4986301369863;11;0;"Dom";1998;3,40909704426667;1;"FI";5687
"4";64;640;FALSE;1594;"1995-06-30";"1995-06-30";"1995-07-18";"1995-07-18";"1995-07-24";2133;1;1;90;"08:35:00";5852;"BrF";NA;1995;1;0,0111111111111111;1987;"1987-08-16";8;8;2899;19;103;"1995-05-22";"1995-09-14";1995;7;1;NA;NA;NA;NA;NA;-1,51638975209461;3877;10,6219178082192;8;0;"Dom";1995;NA;0;"F";3877
"5";64;682;FALSE;1594;"1995-06-30";"1995-06-30";"1995-07-18";"1995-07-18";"1995-08-11";2133;1;1;90;"00:00:00";5852;"BrF";NA;1995;6;0,0666666666666667;1987;"1987-08-16";8;8;2917;19;103;"1995-05-22";"1995-09-14";1995;7;1;NA;NA;NA;NA;NA;-0,756733927788511;3877;10,6219178082192;8;0;"Dom";1995;NA;0;"FL";3877
"6";64;636;FALSE;1594;"1995-06-30";"1995-06-30";"1995-07-18";"1995-07-18";"1995-07-20";2133;1;1;90;"08:33:00";5852;"BrF";NA;1995;1;0,0111111111111111;1987;"1987-08-16";8;8;2895;19;103;"1995-05-22";"1995-09-14";1995;7;1;NA;NA;NA;NA;NA;-1,51638975209461;3877;10,6219178082192;8;0;"Dom";1995;NA;0;"FI";3877
"7";65;1260;FALSE;1588;"1995-06-18";"1995-07-10";"1995-07-07";"1995-07-26";"1995-07-25";2110;1;1;90;"10:15:00";5751;"BrM";NA;1995;14;0,155555555555556;1987;"1987-08-16";8;8;2900;19;56;"1995-05-22";"1995-09-14";1995;5;0;NA;NA;NA;NA;NA;0,458715391101252;3877;10,6219178082192;8;0;"Dom";1995;NA;1;"FI";3877
"8";75;676;FALSE;2218;NA;"1995-06-02";NA;"1995-06-19";"1995-07-04";2138;1;1;90;"08:08:00";5870;"BrM";NA;1995;13;0,144444444444444;1987;"1987-09-14";8;8;2850;19;108;"1995-05-22";"1995-09-14";1995;5;2;NA;NA;NA;NA;NA;0,30678422624002;3254;8,91506849315068;8;0;"Dom";1995;NA;1;"FL";3254
"9";168;1296;FALSE;1591;"1995-07-07";"1995-07-13";"1995-07-25";"1995-07-29";"1995-08-01";2127;1;1;60;"15:27:00";5832;"BrF";NA;1995;18;0,3;1989;"1989-07-15";6;6;2208;19;89;"1995-05-22";"1995-09-14";1995;8;1;NA;NA;NA;NA;NA;2,4338205342971;4394;12,0383561643836;6,66666666666667;-0,666666666666667;"Dom";1995;NA;0;"F";4394
"10";168;683;FALSE;1591;"1995-07-07";"1995-07-13";"1995-07-25";"1995-07-29";"1995-08-03";2127;1;1;60;"10:42:00";5832;"BrF";NA;1995;12;0,2;1989;"1989-07-15";6;6;2210;19;89;"1995-05-22";"1995-09-14";1995;8;1;NA;NA;NA;NA;NA;1,06644005054613;4394;12,0383561643836;6,66666666666667;-0,666666666666667;"Dom";1995;NA;0;"F";4394
