"","BirdID","Status","FieldPeriodID","BirthDate","Island","PeriodYear","birthyear","PeriodYearEnd","age","age_date","survival","SexEstimate","newstat","agefirstrepro","lifespan","occasionyear","PeriodStart","PeriodEnd","season","seasonlength","no_st","fp_na","avg_bug","statbefore","yearlytq","yearlytq_corr","Year"
"1",44,"BrM",25,"1986-08-04","CN",1998,1986,1998,12,4437,1,1,"Dom",2,4561,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",78438.593705,78438.593705,1998
"2",51,"BrM",28,"1987-03-08","CN",1999,1987,1999,12,4585,1,1,"Dom",6,6022,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",83993.44905,83993.44905,1999
"3",51,"BrM",25,"1987-03-08","CN",1998,1987,1998,11,4221,1,1,"Dom",6,6022,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",77815.5343,77815.5343,1998
"4",78,"BrF",25,"1987-09-20","CN",1998,1987,1998,11,4025,1,0,"Dom",2,4711,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",107571.560305,107571.560305,1998
"5",78,"BrF",28,"1987-09-20","CN",1999,1987,1999,12,4389,1,0,"Dom",2,4711,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",143505.839566,143505.839566,1999
"6",163,"BrF",25,"1988-03-24","CN",1998,1988,1998,10,3839,1,0,"Dom",1,3963,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Sub",132742.6296,132742.6296,1998
"7",168,"BrF",25,"1989-07-15","CN",1998,1989,1998,9,3361,1,0,"Dom",2,4394,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",60121.60831,60121.60831,1998
"8",168,"BrF",28,"1989-07-15","CN",1999,1989,1999,10,3725,1,0,"Dom",2,4394,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",170484.117125,170484.117125,1999
"9",169,"BrF",28,"1988-09-13","CN",1999,1988,1999,11,4030,1,0,"Dom",1,4352,1999,1999-07-02,1999-09-26,"main",86,3,FALSE,3.33536095095,"Dom",17251.072108,17251.072108,1999
"10",169,"BrF",25,"1988-09-13","CN",1998,1988,1998,10,3666,1,0,"Dom",1,4352,1998,1998-06-20,1998-09-27,"main",99,2,FALSE,4.62349680646667,"Dom",59126.366185,59126.366185,1998
