"","BirdID","FieldPeriodID","Status","BirthDate","Island","PeriodYear","BirthFieldPeriodID","PeriodEnd.x","birthyear","age","survival","PeriodEndYear","SexEstimate","PeriodStart","PeriodEnd.y","seasonlength","season","no_st","nrns"
"1",20,3,"SEEN1",1982-06-05,"CN",1983,2,1983-11-27,1982,1,1,1983,NA,1983-05-26,1983-11-28,186,"main",1,1
"2",20,4,"U",1982-06-05,"CN",1984,2,1984-09-25,1982,2,1,1984,NA,1984-01-13,1984-09-26,257,"main",1,1
"3",20,NA,"NS",NA,NA,1985,NA,NA,1982,3,0,1985,NA,NA,NA,NA,NA,1,1
"4",21,3,"AB",1983-02-25,"CN",1983,2,1983-11-27,1983,0,1,1983,1,1983-05-26,1983-11-28,186,"main",1,1
"5",21,4,"NSA",1983-02-25,"CN",1984,2,1984-09-25,1983,1,1,1984,1,1984-01-13,1984-09-26,257,"main",1,1
"6",21,5,"BrM",1983-02-25,"CN",1985,2,1985-11-26,1983,2,1,1985,1,1985-03-16,1985-11-27,256,"main",1,1
"7",21,6,"BrM",1983-02-25,"CN",1986,2,1986-12-04,1983,3,1,1986,1,1986-05-19,1986-12-05,200,"main",1,1
"8",21,7,"BrM",1983-02-25,"CN",1987,2,1988-01-27,1983,4,1,1988,1,1987-01-29,1988-01-28,364,"main",1,1
"9",21,8,"BrM",1983-02-25,"CN",1988,2,1989-03-23,1983,5,1,1989,1,1988-07-16,1989-03-24,251,"main",1,1
"10",21,10,"BrM",1983-02-25,"CN",1989,2,1989-11-25,1983,6,1,1989,1,1989-07-02,1989-11-26,147,"main",1,1
"11",21,12,"BrM",1983-02-25,"CN",1990,2,1990-09-11,1983,7,1,1990,1,1990-01-22,1990-09-12,233,"main",1,1
"12",21,14,"BrM",1983-02-25,"CN",1991,2,1991-12-30,1983,8,1,1991,1,1991-01-01,1991-12-31,364,"main",1,1
"13",21,16,"BrM",1983-02-25,"CN",1993,2,1993-08-12,1983,10,1,1993,1,1993-08-07,1993-08-13,6,"main",1,1
"14",21,17,"BrM",1983-02-25,"CN",1994,2,1994-07-28,1983,11,1,1994,1,1994-07-07,1994-07-29,22,"main",1,1
"15",21,19,"BrM",1983-02-25,"CN",1995,2,1995-09-13,1983,12,1,1995,1,1995-05-22,1995-09-14,115,"main",1,1
"16",21,21,"BrM",1983-02-25,"CN",1996,2,1996-08-10,1983,13,1,1996,1,1996-06-24,1996-08-11,48,"main",1,1
"17",21,NA,"NS",NA,NA,1997,NA,NA,1983,14,0,1997,1,NA,NA,NA,NA,1,1
"18",22,3,"SEEN2",1983-06-07,"CN",1983,3,1983-11-27,1983,0,1,1983,1,1983-05-26,1983-11-28,186,"main",1,1
"19",22,4,"BrM",1983-06-07,"CN",1984,3,1984-09-25,1983,1,1,1984,1,1984-01-13,1984-09-26,257,"main",1,1
"20",22,5,"BrM",1983-06-07,"CN",1985,3,1985-11-26,1983,2,1,1985,1,1985-03-16,1985-11-27,256,"main",1,1
"21",22,6,"BrM",1983-06-07,"CN",1986,3,1986-12-04,1983,3,1,1986,1,1986-05-19,1986-12-05,200,"main",1,1
"22",22,7,"BrM",1983-06-07,"CN",1987,3,1988-01-27,1983,4,1,1988,1,1987-01-29,1988-01-28,364,"main",1,1
"23",22,8,"BrM",1983-06-07,"CN",1988,3,1989-03-23,1983,5,1,1989,1,1988-07-16,1989-03-24,251,"main",1,1
"24",22,10,"BrM",1983-06-07,"CN",1989,3,1989-11-25,1983,6,1,1989,1,1989-07-02,1989-11-26,147,"main",1,1
"25",22,12,"BrM",1983-06-07,"CN",1990,3,1990-09-11,1983,7,1,1990,1,1990-01-22,1990-09-12,233,"main",1,1
"26",22,14,"NSA",1983-06-07,"CN",1991,3,1991-12-30,1983,8,1,1991,1,1991-01-01,1991-12-31,364,"main",1,1
"27",22,16,"BrM",1983-06-07,"CN",1993,3,1993-08-12,1983,10,1,1993,1,1993-08-07,1993-08-13,6,"main",1,1
"28",22,17,"BrM",1983-06-07,"CN",1994,3,1994-07-28,1983,11,1,1994,1,1994-07-07,1994-07-29,22,"main",1,1
"29",22,19,"BrM",1983-06-07,"CN",1995,3,1995-09-13,1983,12,1,1995,1,1995-05-22,1995-09-14,115,"main",1,1
"30",22,21,"BrM",1983-06-07,"CN",1996,3,1996-08-10,1983,13,1,1996,1,1996-06-24,1996-08-11,48,"main",1,1
"31",22,22,"SEEN1",1983-06-07,"CN",1997,3,1997-08-27,1983,14,1,1997,1,1997-07-01,1997-08-28,58,"main",1,1
"32",22,NA,"NS",NA,NA,1998,NA,NA,1983,15,0,1998,1,NA,NA,NA,NA,1,1
"33",25,3,"SEEN1",1983-09-28,"CN",1983,3,1983-11-27,1983,0,1,1983,1,1983-05-26,1983-11-28,186,"main",1,1
"34",25,4,"NSA",1983-09-28,"CN",1984,3,1984-09-25,1983,1,1,1984,1,1984-01-13,1984-09-26,257,"main",1,1
"35",25,5,"NSA",1983-09-28,"CN",1985,3,1985-11-26,1983,2,1,1985,1,1985-03-16,1985-11-27,256,"main",1,1
"36",25,6,"NSA",1983-09-28,"CN",1986,3,1986-12-04,1983,3,1,1986,1,1986-05-19,1986-12-05,200,"main",1,1
"37",25,7,"NSA",1983-09-28,"CN",1987,3,1988-01-27,1983,4,1,1988,1,1987-01-29,1988-01-28,364,"main",1,1
