"","BirdID","birthyear","occasionyear","age_year","newlifespan","FPID","newstat","RTL","Whodunnit","SexEstimate","new_bug"
"1",51,1987,1987,0,5687,7,"Sub",NA,NA,"1",5.08906934631664
"2",51,1987,1988,1,5687,8,"Sub",NA,NA,"1",NA
"3",51,1987,1989,2,5687,10,"Sub",NA,NA,"1",NA
"4",51,1987,1990,3,5687,12,"Sub",NA,NA,"1",2.65244281811658
"5",51,1987,1991,4,5687,14,"Sub",NA,NA,"1",NA
"6",51,1987,1992,5,5687,NA,"Sub",NA,NA,"1",NA
"7",51,1987,1993,6,5687,16,"Dom",NA,NA,"1",NA
"8",51,1987,1994,7,5687,17,"Sub",NA,NA,"1",NA
"9",51,1987,1995,8,5687,19,"Dom",NA,NA,"1",NA
"10",51,1987,1996,9,5687,21,"Dom",NA,NA,"1",5.504502192368
"11",51,1987,1997,10,5687,22,"Dom",1.53,"EAF","1",6.34906043033333
"12",51,1987,1998,11,5687,25,"Dom",NA,NA,"1",3.40909704468116
"13",51,1987,1999,12,5687,28,"Dom",NA,NA,"1",5.15521640609487
"14",51,1987,2000,13,5687,39,"Dom",NA,NA,"1",NA
"15",51,1987,2001,14,5687,40,"Dom",NA,NA,"1",NA
"16",51,1987,2002,15,5687,41,"Dom",NA,NA,"1",NA
"17",51,1987,2003,16,5687,30,"Dom",NA,NA,"1",3.65308711255895
"18",64,1987,1987,0,3877,7,"Sub",NA,NA,"0",5.08906934631664
"19",64,1987,1988,1,3877,8,"Dom",NA,NA,"0",NA
"20",64,1987,1989,2,3877,10,"Dom",NA,NA,"0",NA
"21",64,1987,1990,3,3877,12,"Dom",NA,NA,"0",2.65244281811658
"22",64,1987,1991,4,3877,14,"Dom",NA,NA,"0",NA
"23",64,1987,1992,5,3877,NA,"Sub",NA,NA,"0",NA
"24",64,1987,1993,6,3877,16,"Dom",NA,NA,"0",NA
"25",64,1987,1994,7,3877,17,"Dom",NA,NA,"0",NA
"26",64,1987,1995,8,3877,19,"Dom",NA,NA,"0",NA
"27",64,1987,1996,9,3877,21,"Dom",NA,NA,"0",5.504502192368
"28",64,1987,1997,10,3877,22,"Dom",NA,NA,"0",6.34906043057842
"29",64,1987,1998,11,3877,23,"Dom",0.81,"EB","0",5.83789656866667
"30",163,1988,1988,0,3839,8,"Sub",NA,NA,"0",NA
"31",163,1988,1989,1,3839,10,"Dom",NA,NA,"0",NA
"32",163,1988,1990,2,3839,12,"Dom",NA,NA,"0",2.65244281811658
"33",163,1988,1991,3,3839,14,"Dom",NA,NA,"0",NA
"34",163,1988,1992,4,3839,NA,"Sub",NA,NA,"0",NA
"35",163,1988,1993,5,3839,16,"Dom",NA,NA,"0",NA
"36",163,1988,1994,6,3839,17,"Dom",NA,NA,"0",NA
"37",163,1988,1995,7,3839,19,"Help",NA,NA,"0",NA
"38",163,1988,1996,8,3839,21,"Help",NA,NA,"0",5.504502192368
"39",163,1988,1997,9,3839,22,"Sub",1.21,"EB","0",6.34906043033333
"40",163,1988,1998,10,3839,25,"Dom",NA,NA,"0",3.40909704468116
"41",163,1988,1999,11,3839,28,"Sub",NA,NA,"0",5.15521640609487
"42",176,1988,1988,0,5132,8,"Sub",NA,NA,"1",NA
"43",176,1988,1989,1,5132,10,"Dom",NA,NA,"1",NA
"44",176,1988,1990,2,5132,12,"Dom",NA,NA,"1",2.65244281811658
"45",176,1988,1991,3,5132,14,"Dom",NA,NA,"1",NA
"46",176,1988,1992,4,5132,NA,"Sub",NA,NA,"1",NA
"47",176,1988,1993,5,5132,16,"Sub",NA,NA,"1",NA
"48",176,1988,1994,6,5132,17,"Sub",NA,NA,"1",NA
"49",176,1988,1995,7,5132,19,"Dom",0.4,"EAF","1",NA
"50",176,1988,1995,7,5132,19,"Dom",0.93,"EAF","1",NA
"51",176,1988,1996,8,5132,21,"Dom",NA,NA,"1",5.504502192368
"52",176,1988,1997,9,5132,22,"Dom",NA,NA,"1",6.34906043057842
"53",176,1988,1998,10,5132,25,"Dom",NA,NA,"1",3.40909704468116
"54",176,1988,1999,11,5132,28,"Dom",NA,NA,"1",5.15521640609487
"55",176,1988,2000,12,5132,39,"Dom",NA,NA,"1",NA
"56",176,1988,2001,13,5132,40,"Dom",NA,NA,"1",NA
"57",176,1988,2002,14,5132,41,"Dom",0.72,"EB","1",NA
"58",199,1986,1986,0,5783,6,"Sub",NA,NA,NA,NA
"59",199,1986,1987,1,5783,7,"Sub",NA,NA,NA,5.08906934631664
"60",199,1986,1988,2,5783,8,"Sub",NA,NA,NA,NA
"61",199,1986,1989,3,5783,10,"Dom",NA,NA,NA,NA
"62",199,1986,1990,4,5783,12,"Dom",NA,NA,NA,2.65244281811658
"63",199,1986,1991,5,5783,14,"Dom",NA,NA,NA,NA
"64",199,1986,1992,6,5783,NA,"Sub",NA,NA,NA,NA
"65",199,1986,1993,7,5783,16,"Sub",NA,NA,NA,NA
"66",199,1986,1994,8,5783,17,"Dom",NA,NA,NA,NA
"67",199,1986,1995,9,5783,19,"Dom",0.32,"EB",NA,NA
"68",199,1986,1996,10,5783,21,"Dom",NA,NA,NA,5.504502192368
"69",199,1986,1997,11,5783,22,"Dom",NA,NA,NA,6.34906043057842
"70",199,1986,1998,12,5783,25,"Dom",NA,NA,NA,3.40909704468116
"71",199,1986,1999,13,5783,28,"Dom",NA,NA,NA,5.15521640609487
"72",199,1986,2000,14,5783,39,"Dom",NA,NA,NA,NA
"73",199,1986,2001,15,5783,40,"Dom",NA,NA,NA,NA
"74",199,1986,2002,16,5783,41,"Dom",0.69,"EB",NA,NA
"75",216,1988,1988,0,4747,8,"Sub",NA,NA,"1",NA
"76",216,1988,1989,1,4747,10,"Dom",NA,NA,"1",NA
"77",216,1988,1990,2,4747,12,"Dom",NA,NA,"1",2.65244281811658
"78",216,1988,1991,3,4747,14,"Dom",NA,NA,"1",NA
"79",216,1988,1992,4,4747,NA,"Sub",NA,NA,"1",NA
"80",216,1988,1993,5,4747,16,"Dom",NA,NA,"1",NA
"81",216,1988,1994,6,4747,17,"Dom",NA,NA,"1",NA
"82",216,1988,1995,7,4747,19,"Dom",NA,NA,"1",NA
"83",216,1988,1996,8,4747,21,"Dom",NA,NA,"1",5.504502192368
"84",216,1988,1997,9,4747,22,"Dom",1.18,"EAF","1",6.34906043033333
"85",216,1988,1998,10,4747,25,"Dom",NA,NA,"1",3.40909704468116
"86",216,1988,1999,11,4747,28,"Dom",NA,NA,"1",5.15521640609487
"87",216,1988,2000,12,4747,39,"Dom",NA,NA,"1",NA
"88",216,1988,2001,13,4747,40,"Dom",NA,NA,"1",NA
"89",220,1988,1988,0,4731,8,"Sub",NA,NA,"1",NA
"90",220,1988,1989,1,4731,10,"Sub",NA,NA,"1",NA
"91",220,1988,1990,2,4731,12,"Dom",NA,NA,"1",2.65244281811658
"92",220,1988,1991,3,4731,14,"Dom",NA,NA,"1",NA
"93",220,1988,1992,4,4731,NA,"Sub",NA,NA,"1",NA
"94",220,1988,1993,5,4731,16,"Dom",NA,NA,"1",NA
"95",220,1988,1994,6,4731,17,"Dom",NA,NA,"1",NA
"96",220,1988,1995,7,4731,19,"Dom",NA,NA,"1",NA
"97",220,1988,1996,8,4731,21,"Dom",NA,NA,"1",5.504502192368
"98",220,1988,1997,9,4731,22,"Dom",NA,NA,"1",6.34906043057842
"99",220,1988,1998,10,4731,23,"Dom",0.69,"EB","1",5.83789656866667
"100",220,1988,1999,11,4731,28,"Dom",NA,NA,"1",5.15521640609487
"101",220,1988,2000,12,4731,39,"Dom",NA,NA,"1",NA
"102",220,1988,2001,13,4731,40,"Dom",NA,NA,"1",NA
"103",221,1988,1988,0,6378,8,"Sub",NA,NA,"1",NA
"104",221,1988,1989,1,6378,10,"Sub",NA,NA,"1",NA
"105",221,1988,1990,2,6378,12,"Dom",NA,NA,"1",2.65244281811658
"106",221,1988,1991,3,6378,14,"Dom",NA,NA,"1",NA
"107",221,1988,1992,4,6378,NA,"Sub",NA,NA,"1",NA
"108",221,1988,1993,5,6378,16,"Dom",NA,NA,"1",NA
"109",221,1988,1994,6,6378,17,"Dom",NA,NA,"1",NA
"110",221,1988,1995,7,6378,19,"Dom",1.99,"EB","1",NA
"111",221,1988,1996,8,6378,21,"Dom",NA,NA,"1",5.504502192368
"112",221,1988,1997,9,6378,22,"Dom",0.9,"EB","1",6.34906043033333
"113",221,1988,1998,10,6378,25,"Dom",NA,NA,"1",3.40909704468116
"114",221,1988,1999,11,6378,28,"Dom",NA,NA,"1",5.15521640609487
"115",221,1988,2000,12,6378,39,"Dom",NA,NA,"1",NA
"116",221,1988,2001,13,6378,40,"Dom",NA,NA,"1",NA
"117",221,1988,2002,14,6378,41,"Dom",NA,NA,"1",NA
"118",221,1988,2003,15,6378,30,"Dom",1.04,"EB","1",3.65308711307692
"119",221,1988,2004,16,6378,34,"Dom",NA,NA,"1",3.18841004325798
"120",221,1988,2005,17,6378,37,"Dom",NA,NA,"1",3.76584093842371
"121",308,1990,1990,0,4003,12,"Sub",NA,NA,"0",2.65244281811658
"122",308,1990,1991,1,4003,14,"Dom",NA,NA,"0",NA
"123",308,1990,1992,2,4003,NA,"Sub",NA,NA,"0",NA
"124",308,1990,1993,3,4003,16,"Dom",NA,NA,"0",NA
"125",308,1990,1994,4,4003,17,"Dom",NA,NA,"0",NA
"126",308,1990,1995,5,4003,19,"Dom",NA,NA,"0",NA
"127",308,1990,1996,6,4003,21,"Dom",NA,NA,"0",5.504502192368
"128",308,1990,1997,7,4003,22,"Dom",NA,NA,"0",6.34906043057842
"129",308,1990,1998,8,4003,25,"Dom",NA,NA,"0",3.40909704468116
"130",308,1990,1999,9,4003,29,"Sub",0.54,"EAF","0",NA
"131",308,1990,2000,10,4003,39,"Dom",NA,NA,"0",NA
"132",308,1990,2001,11,4003,40,"Dom",NA,NA,"0",NA
"133",441,1992,1992,0,5288,NA,"Sub",NA,NA,"0",NA
"134",441,1992,1993,1,5288,16,"Sub",NA,NA,"0",NA
"135",441,1992,1994,2,5288,17,"Dom",NA,NA,"0",NA
"136",441,1992,1995,3,5288,19,"Dom",NA,NA,"0",NA
"137",441,1992,1996,4,5288,21,"Dom",NA,NA,"0",5.504502192368
"138",441,1992,1997,5,5288,22,"Dom",1.7,"EB","0",6.34906043033333
"139",441,1992,1998,6,5288,25,"Dom",NA,NA,"0",3.40909704468116
"140",441,1992,1999,7,5288,28,"Dom",NA,NA,"0",5.15521640609487
"141",441,1992,2000,8,5288,39,"Dom",NA,NA,"0",NA
"142",441,1992,2001,9,5288,40,"Dom",NA,NA,"0",NA
"143",441,1992,2002,10,5288,41,"Dom",NA,NA,"0",NA
"144",441,1992,2003,11,5288,30,"Dom",NA,NA,"0",3.65308711255895
"145",441,1992,2004,12,5288,34,"Dom",1.22,"EB","0",3.1884100425
"146",441,1992,2005,13,5288,37,"Dom",NA,NA,"0",3.76584093842371
"147",441,1992,2006,14,5288,75,"Sub",NA,NA,"0",3.14873123228241
"148",442,1992,1992,0,3707,NA,"Sub",NA,NA,"0",NA
"149",442,1992,1993,1,3707,16,"Sub",NA,NA,"0",NA
"150",442,1992,1994,2,3707,17,"Sub",NA,NA,"0",NA
"151",442,1992,1995,3,3707,19,"Help",1.37,"EAF","0",NA
"152",442,1992,1996,4,3707,21,"Help",NA,NA,"0",5.504502192368
"153",442,1992,1997,5,3707,22,"Help",NA,NA,"0",6.34906043057842
"154",442,1992,1998,6,3707,25,"Help",NA,NA,"0",3.40909704468116
"155",442,1992,1999,7,3707,28,"Sub",NA,NA,"0",5.15521640609487
"156",442,1992,2000,8,3707,39,"Sub",NA,NA,"0",NA
"157",442,1992,2001,9,3707,40,"Sub",NA,NA,"0",NA
"158",442,1992,2002,10,3707,41,"Sub",NA,NA,"0",NA
"159",450,1992,1992,0,2926,NA,"Sub",NA,NA,"0",NA
"160",450,1992,1993,1,2926,16,"Sub",NA,NA,"0",NA
"161",450,1992,1994,2,2926,17,"Sub",NA,NA,"0",NA
"162",450,1992,1995,3,2926,19,"Sub",NA,NA,"0",NA
"163",450,1992,1996,4,2926,21,"Sub",NA,NA,"0",5.504502192368
"164",450,1992,1997,5,2926,22,"Dom",NA,NA,"0",6.34906043057842
"165",450,1992,1998,6,2926,25,"Dom",NA,NA,"0",3.40909704468116
"166",450,1992,1999,7,2926,26,"Dom",0.39,"EAF","0",1.51550549603333
"167",450,1992,1999,7,2926,27,"Dom",1.01,"EB","0",NA
"168",450,1992,2000,8,2926,39,"Dom",NA,NA,"0",NA
"169",453,1992,1992,0,6430,NA,"Sub",NA,NA,"1",NA
"170",453,1992,1993,1,6430,16,"Sub",NA,NA,"1",NA
"171",453,1992,1994,2,6430,17,"Sub",NA,NA,"1",NA
"172",453,1992,1995,3,6430,19,"Sub",NA,NA,"1",NA
"173",453,1992,1996,4,6430,21,"Dom",NA,NA,"1",5.504502192368
"174",453,1992,1997,5,6430,22,"Dom",NA,NA,"1",6.34906043057842
"175",453,1992,1998,6,6430,25,"Dom",NA,NA,"1",3.40909704468116
"176",453,1992,1999,7,6430,28,"Dom",NA,NA,"1",5.15521640609487
"177",453,1992,2000,8,6430,39,"Dom",NA,NA,"1",NA
"178",453,1992,2001,9,6430,40,"Sub",NA,NA,"1",NA
"179",453,1992,2002,10,6430,41,"Sub",NA,NA,"1",NA
"180",453,1992,2003,11,6430,30,"Dom",NA,NA,"1",3.65308711255895
"181",453,1992,2004,12,6430,34,"Dom",NA,NA,"1",3.18841004325798
"182",453,1992,2005,13,6430,37,"Dom",NA,NA,"1",3.76584093842371
"183",453,1992,2006,14,6430,75,"Dom",1.21,"EB","1",3.14873123264286
"184",453,1992,2007,15,6430,82,"Dom",NA,NA,"1",2.00111878419741
"185",453,1992,2008,16,6430,87,"Dom",NA,NA,"1",2.59212595036396
"186",453,1992,2009,17,6430,92,"Dom",0.26,"EAF","1",4.5509424385
"187",455,1992,1992,0,1844,NA,"Sub",NA,NA,"0",NA
"188",455,1992,1993,1,1844,16,"Dom",NA,NA,"0",NA
"189",455,1992,1994,2,1844,17,"Sub",NA,NA,"0",NA
"190",455,1992,1995,3,1844,19,"Sub",NA,NA,"0",NA
"191",455,1992,1996,4,1844,21,"Dom",NA,NA,"0",5.504502192368
"192",455,1992,1997,5,1844,22,"Dom",1.67,"EB","0",6.34906043033333
"193",458,1992,1992,0,3704,NA,"Sub",NA,NA,"0",NA
