"","BirdID","BloodID","NotSure","Objective","PlateID","U_PlateID","CqGAPDH","EffGAPDH","DiffGAPDH","CqTelomere","EffTelomere","DiffTelomere","RTL","Whodunnit","obsno","CatchID","BloodSource","Status","OccasionDate","Island","birthyear","birthday","occasionyear","age_year","age_date","AveAge","WithinAge","BirthFieldPeriodID","SexEstimate","OccasionID","TerritoryID","FieldPeriodID","Year","TerritoryNumber","TQ","TQcorrected","newstat","avg_invert","RTL_z","lifespan","newlifespan"
"1",51,2583,3286,8,20,"8_20",23.1675,1.832,0.185,15.215,1.726,0.038,1.53,"EAF",1,2408,"A","BrM","1997-07-23","CN",1987,"1987-03-08",1997,10,3790,10,0,7,1,712,51,22,1997,35,126008.9824,126008.9824,"Dom",6.34906043033333,1.64670291112226,6022,5687
"2",64,2623,69,1,15,"1_15",23.90966667,1.892333333,0.456,13.09933333,1.727666667,0.331,0.81,"EB",1,2390,"A","BrF","1998-02-11","CN",1987,"1987-08-16",1998,11,3832,11,0,7,0,784,103,23,1998,71,13134.04794,13134.04794,"Dom",5.83789656866667,-0.237223283991706,3877,3877
"3",163,2422,294,1,33,"1_33",24.29566667,1.884,0.033,14.843,1.627,0.277,1.21,"EB",1,2245,"A","ABX","1997-07-27","CN",1988,"1988-03-24",1997,9,3412,9,0,7,0,722,59,22,1997,42,207956.2214,207956.2214,"Sub",6.34906043033333,0.809402379960495,3963,3839
"4",176,2163,2819,7,35,"7_35",23.581,1.901,0.042,17.135,1.76,0.264,0.4,"EAF",1,2220,"A","BrM","1995-05-26","CN",1988,"1988-09-13",1995,7,2446,9.33333333333333,-2.33333333333333,8,1,422,63,19,NA,NA,NA,NA,"Dom",NA,-1.31001458954271,5467,5132
"5",176,2215,2753,7,32,"7_32",23.88,1.845,0.058,15.995,1.7945,0.048,0.93,"EAF",1,2223,"A","BrM","1995-06-20","CN",1988,"1988-09-13",1995,7,2471,9.33333333333333,-2.33333333333333,8,1,467,63,19,NA,NA,NA,NA,"Dom",NA,0.0767644151939545,5467,5132
"6",176,1020,1666,4,3,"4_3",23.878,1.871333333,0.21,13.42666667,1.756,0.25,0.72,"EB",1,2678,"A","BrM","2002-07-25","CN",1988,"1988-09-13",2002,14,5063,9.33333333333333,4.66666666666667,8,1,1059,63,41,NA,NA,NA,NA,"Dom",NA,-0.472714058380951,5467,5132
"7",199,1037,525,2,13,"2_13",24.19033333,1.966666667,0.139,14.20133333,1.682,0.342,0.69,"EB",1,2694,"A","BrF","2002-08-01","CN",1986,"1986-12-02",2002,16,5721,12.5,3.5,6,NA,1070,42,41,NA,NA,NA,NA,"Dom",NA,-0.551210983177367,6252,5783
"8",199,2196,649,2,21,"2_21",24.197,2.027666667,0.213,14.755,1.647333333,0.122,0.32,"EB",1,2182,"A","BrF","1995-06-10","CN",1986,"1986-12-02",1995,9,3112,12.5,-3.5,6,NA,448,41,19,NA,NA,NA,NA,"Dom",NA,-1.51933972233315,6252,5783
"9",216,2501,3824,8,8,"8_8",23.318,1.9345,0.12,15.4215,1.8265,0.107,1.18,"EAF",1,2152,"A","BrM","1997-07-05","CN",1988,"1988-07-27",1997,9,3265,9,0,8,1,677,52,22,1997,36,65338.04155,65338.04155,"Dom",6.34906043033333,0.73090545516408,5180,4747
"10",220,2652,408,1,40,"1_40",24.05433333,1.873666667,0.021,13.68133333,1.687333333,0.244,0.69,"EB",1,2140,"A","BrM","1998-03-22","CN",1988,"1988-08-12",1998,10,3509,10,0,8,1,807,26,23,1998,20,167454.4713,167454.4713,"Dom",5.83789656866667,-0.551210983177367,5164,4731
"11",221,2193,469,2,1,"2_1",24.60866667,1.805,0.086,14.22533333,1.602666667,0.294,1.99,"EB",1,2137,"A","BrM","1995-06-08","CN",1988,"1988-06-25",1995,7,2539,10.3333333333333,-3.33333333333333,8,1,444,45,19,NA,NA,NA,NA,"Dom",NA,2.85032242466729,6378,6378
"12",221,2412,32,1,12,"1_12",23.92866667,1.932666667,0.28,14.18,1.663333333,0.235,0.9,"EB",1,2135,"A","BrM","1997-07-25","CN",1988,"1988-06-25",1997,9,3317,10.3333333333333,-1.33333333333333,8,1,716,45,22,1997,32,115986.4131,115986.4131,"Dom",6.34906043033333,-0.00173250960246065,6378,6378
"13",221,56,530,2,13,"2_13",23.804,1.894,0.209,13.10466667,1.715,0.286,1.04,"EB",1,2937,"A","BrM","2003-06-09","CN",1988,"1988-06-25",2003,15,5462,10.3333333333333,4.66666666666667,8,1,1126,45,30,2003,32,19130.30157,19130.30157,"Dom",3.65308711307692,0.36458647278081,6378,6378
"14",308,846,3056,7,46,"7_46",22.9835,1.92,0.037,15.9445,1.818,0.221,0.54,"EAF",1,1979,"A",NA,"1999-11-30","CN",1990,"1990-08-10",1999,9,3399,9,0,12,0,1002,53,29,NA,NA,NA,NA,NA,NA,-0.943695607159442,4436,4003
"15",441,2565,457,1,9,"1_9",24.58966667,1.919333333,0.195,14.18766667,1.735,0.117,1.7,"EB",1,1768,"A","BrF","1997-07-19","CN",1992,"1992-08-07",1997,5,1807,8.5,-3.5,14,0,701,38,22,1997,28,95218.56427,95218.56427,"Dom",6.34906043033333,2.09151881830194,5288,5288
"16",441,403,754,2,7,"2_7",23.88833333,1.916,0.155,12.958,1.741,0.157,1.22,"EB",1,3704,"A","BrF","2004-08-08","CN",1992,"1992-08-07",2004,12,4384,8.5,3.5,14,0,1447,38,34,2004,28,17355.05498,17355.05498,"Dom",3.1884100425,0.8355680215593,5288,5288
"17",442,2190,2732,7,31,"7_31",22.911,1.9095,0.018,14.5125,1.8035,0.193,1.37,"EAF",1,1764,"A","H","1995-06-08","CN",1992,"1992-08-08",1995,3,1034,3,0,14,0,444,41,19,NA,NA,NA,NA,"Sub",NA,1.22805264554138,4176,3707
